Year,Team,G,AB,R,H,HR,RBI,AVG
2018,LAA,114,326,59,93,22,61,0.285
2019,LAA,106,384,51,110,18,62,0.286
2020,LAA,46,153,23,29,7,24,0.19
2021,LAA,158,537,103,138,46,100,0.257
2022,LAA,157,586,90,160,34,95,0.273
2023,LAA,135,497,102,151,44,95,0.304
